Name,Author,Created,Vendor,CVE,ExpectedLocations,VulnerableExecutablePath,VulnerableExecutableType,VulnerableExecutableAutoElevated,VulnerableExecutablePrivilegeEscalation,VulnerableExecutableCondition,VulnerableExecutableSHA256,VulnerableExecutableEnvironmentVariable,Resources,Acknowledgements,URL
"ci.dll","Jai Minton - HuntressLabs","2024-05-06","Digiarty","","%PROGRAMFILES%\Digiarty\WinX Blu-ray Decrypter, %SYSTEM32%","%PROGRAMFILES%\Digiarty\WinX Blu-ray Decrypter\WinX Blu-ray Decrypter.exe","Sideloading","","","","1fd92aa46464f8453e33dc7461f80ee7b441f9042e9d0110086226c5f725bd9f","","https://www.virustotal.com/gui/file/2560b7390da7c7a1d92050d9c1f5e3a8025cd35fff5360fe73583b5e3f48731e, https://www.virustotal.com/gui/file/ae2453d0e03d72759d5239dcfe9518d6a721319006613a41f8bb53d37d4d1391/details, https://www.virustotal.com/gui/file/7306316b53f915aaff06f00896829884db857b7e5c2747188ae080cad5b8c0e1","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/digiarty/ci.html"
"goopdate.dll","Jai Minton - HuntressLabs","2024-08-08","Dropbox","","%PROGRAMFILES%\Dropbox\Update, %PROGRAMFILES%\Dropbox\Update\%VERSION%, %LOCALAPPDATA%\DropboxUpdate\Update","DropboxUpdate.exe","Sideloading","","","","47839789332aaf8861f7731bf2d3fbb5e0991ea0d0b457bb4c8c1784f76c73dc","","https://www.huntress.com/blog/advanced-persistent-threat-targeting-vietnamese-human-rights-defenders","Jai Minton (@cyberrraiju), Craig Sweeney (@bumbucha)","https://hijacklibs.net/entries/3rd_party/dropbox/goopdate.html"
"goopdate.dll","Jai Minton - HuntressLabs","2024-08-08","Dropbox","","%PROGRAMFILES%\Dropbox\Update, %PROGRAMFILES%\Dropbox\Update\%VERSION%, %LOCALAPPDATA%\DropboxUpdate\Update","DropboxCrashHandler.exe","Sideloading","","","","47839789332aaf8861f7731bf2d3fbb5e0991ea0d0b457bb4c8c1784f76c73dc","","https://www.huntress.com/blog/advanced-persistent-threat-targeting-vietnamese-human-rights-defenders","Jai Minton (@cyberrraiju), Craig Sweeney (@bumbucha)","https://hijacklibs.net/entries/3rd_party/dropbox/goopdate.html"
"eacore.dll","Wietze Beukema","2025-02-15","Electronic Arts","","%PROGRAMFILES%\Electronic Arts\EA Desktop\EA Desktop","%PROGRAMFILES%\Electronic Arts\EA Desktop\EA Desktop\EACoreServer.exe","Sideloading","","","","2c24f443087674a64742d5e63f62b035102314d4431fdb336cbdcb68291454dd","","https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/, https://x.com/FatzQatz/status/1883443770819248130, https://www.virustotal.com/gui/file/dc673d59a6a9df3d02e83fd03af80e117bea20954602ae416540870b1b3d13c4","FatzQatz (@FatzQatz)","https://hijacklibs.net/entries/3rd_party/electronicarts/eacore.html"
"qrt.dll","Wietze Beukema","2022-06-13","F-Secure","","%PROGRAMFILES%\F-Secure\Anti-Virus","qrtfix.exe","Sideloading","","","","","","https://www.welivesecurity.com/2022/04/27/lookback-ta410-umbrella-cyberespionage-ttps-activity/","","https://hijacklibs.net/entries/3rd_party/f-secure/qrt.html"
"fnp_act_installer.dll","Jai Minton - HuntressLabs","2024-04-15","Flexera","","%PROGRAMFILES%\InstallShield\%VERSION%\System","%PROGRAMFILES%\InstallShield\%VERSION%\System\TSConfig.exe","Sideloading","","","","b5f9377bd27fcf48fb3d81d0196021681739f42a198e8340c27d55192d4bd3ac","","https://asec.ahnlab.com/en/58319/, https://www.virustotal.com/gui/file/e7b69768215453b2c648d7060161ce9b9eaf1ace631eb2ac11b60a7195e2263e, https://app.any.run/tasks/faf0d668-7e06-4b1c-922b-2bb3a9d81dae","Jai Minton (@cyberrraiju), Josh Allman (@xorjosh)","https://hijacklibs.net/entries/3rd_party/flexera/fnp_act_installer.html"
"fnp_act_installer.dll","Jai Minton - HuntressLabs","2024-04-15","Flexera","","%PROGRAMFILES%\InstallShield\%VERSION%\System","%PROGRAMFILES%\InstallShield\%VERSION%\System\ISDbg.exe","Sideloading","","","","40c88a5620a651b6af283dff83c4da997782784da7f85b94fc9b6c02a28862e7","","https://asec.ahnlab.com/en/58319/, https://www.virustotal.com/gui/file/e7b69768215453b2c648d7060161ce9b9eaf1ace631eb2ac11b60a7195e2263e, https://app.any.run/tasks/faf0d668-7e06-4b1c-922b-2bb3a9d81dae","Jai Minton (@cyberrraiju), Josh Allman (@xorjosh)","https://hijacklibs.net/entries/3rd_party/flexera/fnp_act_installer.html"
"avkkid.dll","Wietze Beukema","2025-02-15","G DATA","","%PROGRAMFILES%\G DATA\TotalSecurity\avkkid","%PROGRAMFILES%\G DATA\TotalSecurity\avkkid\avkkid.exe","Sideloading","","","","388b0714e2a8146c270afe6a4c80d109988ad8dc026a0f260b376d9c35a330ed","","https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/, https://www.virustotal.com/gui/file/68eb5590d8ad952215cf54741b0ed6204c19bba4dcb8d704883e007f16de5028","","https://hijacklibs.net/entries/3rd_party/gdata/avkkid.html"
"ccleanerreactivator.dll","Still Hsu","2025-10-20","Gen Digital","","%PROGRAMFILES%\CCleaner","%PROGRAMFILES%\CCleaner\CCleanerReactivator.exe","Sideloading","","","","f87381d6c1ba5c8dd3c0fbe113357aea2104938f7a7516f5be120c30a78dab6b, 59e5b2a7a3903e4fb9a23174b655adb75eb490625ddb126ef29446e47de4099f","","https://www.virustotal.com/gui/file/d665f55555f87b515cb8ef1adce9592a83662a8c4efa34f6ffdd022475bd176a, https://lab52.io/blog/2344-2/","Still Hsu (@AzakaSekai_)","https://hijacklibs.net/entries/3rd_party/gendigital/ccleanerreactivator.html"
"badata_x64.dll","Jai Minton - HuntressLabs","2024-04-10","Glorylogic","","%PROGRAMFILES%\True Burner","%PROGRAMFILES%\True Burner\TrueBurner.exe","Sideloading","","","","3e190f160218ad78c85c169dfd0828d36e4a366a3e2a61337391f0d7599a7558","","https://www.virustotal.com/gui/file/9326dd40e37d720f15a0104f89d6e76eb7a75b6e1fad14018326dbaa01681e74/relations","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/glorylogic/badata_x64.html"
"chrome_frame_helper.dll","Wietze Beukema","2021-12-08","Google","","%LOCALAPPDATA%\Google\Chrome\Application, %PROGRAMFILES%\Google\Chrome\Application","chrome_frame_helper.exe","Sideloading","","","","f95d0ab23f95e169cd2c613a4b8dde731ca6031c5ae11ebf0bdc034db3cc30cd","","https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/","Adam (@hexacorn)","https://hijacklibs.net/entries/3rd_party/google/chrome_frame_helper.html"
"libcef.dll","Matt Anderson - HuntressLabs","2024-04-13","Google","","%PROGRAMFILES%\NVIDIA Corporation\NVIDIA GeForce Experience","%Program Files (x86)\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDA Share.exe","Sideloading","","","","f1e2f82d5f21fb8169131fedee6704696451f9e28a8705fca5c0dd6dad151d64","","https://www.trendmicro.com/en_us/research/24/c/cve-2024-21412--darkgate-operators-exploit-microsoft-windows-sma.html, https://analyze.intezer.com/analyses/93e92d7a-9a46-4c1c-8ac0-87b4453beeb8, https://www.virustotal.com/gui/file/64d0fc47fd77eb300942602a912ea9403960acd4f2ed33a8e325594bf700d65f, https://research.checkpoint.com/2023/beyond-the-horizon-traveling-the-world-on-camaro-dragons-usb-flash-drives/","Matt Anderson (@nosecurething)","https://hijacklibs.net/entries/3rd_party/google/libcef.html"
